BestellungID;KundeID;AllgLieferAdrID;Bestelldatum;Wunschdatum;Rabatt
1;1;1;05.03.2022;06.03.2022;0,5
2;1;120;05.03.2022;05.03.2022;0
3;1;530;05.03.2022;05.03.2022;0
4;2;275;05.03.2022;10.03.2022;2,5
5;2;631;05.03.2022;10.03.2022;2,5
6;2;686;05.03.2022;11.03.2022;3
7;3;494;05.03.2022;13.03.2022;3
8;3;526;05.03.2022;13.03.2022;3
9;3;568;05.03.2022;17.03.2022;3
10;4;162;05.03.2022;05.03.2022;0
11;4;422;05.03.2022;12.03.2022;3
12;4;551;05.03.2022;17.03.2022;3
13;5;287;05.03.2022;16.03.2022;3
14;5;638;05.03.2022;12.03.2022;3
15;5;721;05.03.2022;05.03.2022;0
16;6;588;05.03.2022;08.03.2022;1,5
17;6;589;05.03.2022;13.03.2022;3
18;6;627;05.03.2022;11.03.2022;3
19;7;263;05.03.2022;07.03.2022;1
20;7;652;05.03.2022;10.03.2022;2,5
21;7;742;05.03.2022;17.03.2022;3
22;8;22;05.03.2022;09.03.2022;2
23;8;321;05.03.2022;08.03.2022;1,5
24;8;792;05.03.2022;08.03.2022;1,5
25;9;43;05.03.2022;15.03.2022;3
26;9;403;05.03.2022;13.03.2022;3
27;9;599;05.03.2022;08.03.2022;1,5
28;10;93;05.03.2022;14.03.2022;3
29;10;112;05.03.2022;13.03.2022;3
30;10;490;05.03.2022;05.03.2022;0
31;11;392;05.03.2022;07.03.2022;1
32;11;469;05.03.2022;13.03.2022;3
33;11;601;05.03.2022;08.03.2022;1,5
34;12;239;05.03.2022;16.03.2022;3
35;12;576;05.03.2022;05.03.2022;0
36;12;788;05.03.2022;08.03.2022;1,5
37;13;173;05.03.2022;16.03.2022;3
38;13;623;05.03.2022;09.03.2022;2
39;13;749;05.03.2022;11.03.2022;3
40;14;514;05.03.2022;15.03.2022;3
41;14;644;05.03.2022;09.03.2022;2
42;14;735;05.03.2022;05.03.2022;0
43;15;50;05.03.2022;10.03.2022;2,5
44;15;89;05.03.2022;06.03.2022;0,5
45;15;414;05.03.2022;05.03.2022;0
46;16;140;05.03.2022;10.03.2022;2,5
47;16;396;05.03.2022;17.03.2022;3
48;16;678;05.03.2022;14.03.2022;3
49;17;36;05.03.2022;14.03.2022;3
50;17;154;05.03.2022;10.03.2022;2,5
51;17;763;05.03.2022;08.03.2022;1,5
52;18;433;05.03.2022;06.03.2022;0,5
53;18;447;05.03.2022;11.03.2022;3
54;18;665;05.03.2022;05.03.2022;0
55;19;234;05.03.2022;05.03.2022;0
56;19;593;05.03.2022;18.03.2022;3
57;19;657;05.03.2022;14.03.2022;3
58;20;64;05.03.2022;12.03.2022;3
59;20;259;05.03.2022;16.03.2022;3
60;20;755;05.03.2022;05.03.2022;0
61;21;104;05.03.2022;19.03.2022;3
62;21;214;05.03.2022;13.03.2022;3
63;21;726;05.03.2022;08.03.2022;1,5
64;22;56;05.03.2022;19.03.2022;3
65;22;308;05.03.2022;15.03.2022;3
66;22;784;05.03.2022;14.03.2022;3
67;23;125;05.03.2022;10.03.2022;2,5
68;23;363;05.03.2022;14.03.2022;3
69;23;482;05.03.2022;08.03.2022;1,5
70;24;297;05.03.2022;05.03.2022;0
71;24;577;05.03.2022;07.03.2022;1
72;24;776;05.03.2022;17.03.2022;3
73;25;85;05.03.2022;15.03.2022;3
74;25;615;05.03.2022;05.03.2022;0
75;25;712;05.03.2022;05.03.2022;0
76;26;147;05.03.2022;17.03.2022;3
77;26;564;05.03.2022;08.03.2022;1,5
78;26;670;05.03.2022;05.03.2022;0
79;27;27;05.03.2022;08.03.2022;1,5
80;27;291;05.03.2022;05.03.2022;0
81;27;397;05.03.2022;17.03.2022;3
82;28;103;05.03.2022;06.03.2022;0,5
83;28;251;05.03.2022;18.03.2022;3
84;28;338;05.03.2022;17.03.2022;3
85;29;199;05.03.2022;15.03.2022;3
86;29;313;05.03.2022;13.03.2022;3
87;29;474;05.03.2022;08.03.2022;1,5
88;30;77;05.03.2022;16.03.2022;3
89;30;276;05.03.2022;14.03.2022;3
90;30;607;05.03.2022;05.03.2022;0
91;31;453;05.03.2022;08.03.2022;1,5
92;31;495;05.03.2022;05.03.2022;0
93;31;768;05.03.2022;14.03.2022;3
94;32;417;05.03.2022;08.03.2022;1,5
95;32;483;05.03.2022;05.03.2022;0
96;32;581;05.03.2022;11.03.2022;3
97;33;13;05.03.2022;06.03.2022;0,5
98;33;222;05.03.2022;11.03.2022;3
99;33;227;05.03.2022;08.03.2022;1,5
100;34;200;05.03.2022;10.03.2022;2,5
101;34;285;05.03.2022;05.03.2022;0
102;34;506;05.03.2022;17.03.2022;3
103;35;130;05.03.2022;15.03.2022;3
104;35;238;05.03.2022;07.03.2022;1
105;35;691;05.03.2022;05.03.2022;0
106;36;289;05.03.2022;09.03.2022;2
107;36;636;05.03.2022;17.03.2022;3
108;36;666;05.03.2022;08.03.2022;1,5
109;37;384;05.03.2022;11.03.2022;3
110;37;429;05.03.2022;05.03.2022;0
111;37;620;05.03.2022;05.03.2022;0
112;38;215;05.03.2022;10.03.2022;2,5
113;38;376;05.03.2022;13.03.2022;3
114;38;464;05.03.2022;11.03.2022;3
115;39;69;05.03.2022;05.03.2022;0
116;39;372;05.03.2022;17.03.2022;3
117;39;432;05.03.2022;14.03.2022;3
118;40;487;05.03.2022;06.03.2022;0,5
119;40;528;05.03.2022;17.03.2022;3
120;40;679;05.03.2022;05.03.2022;0
121;41;191;05.03.2022;16.03.2022;3
122;41;502;05.03.2022;19.03.2022;3
123;41;565;05.03.2022;05.03.2022;0
124;42;516;05.03.2022;14.03.2022;3
125;42;718;05.03.2022;10.03.2022;2,5
126;42;747;05.03.2022;17.03.2022;3
127;43;109;05.03.2022;18.03.2022;3
128;43;628;05.03.2022;19.03.2022;3
129;43;680;05.03.2022;05.03.2022;0
130;44;159;05.03.2022;05.03.2022;0
131;44;705;05.03.2022;05.03.2022;0
132;44;731;05.03.2022;17.03.2022;3
133;45;48;05.03.2022;14.03.2022;3
134;45;143;05.03.2022;12.03.2022;3
135;45;727;05.03.2022;05.03.2022;0
136;46;32;05.03.2022;07.03.2022;1
137;46;368;05.03.2022;06.03.2022;0,5
138;46;456;05.03.2022;08.03.2022;1,5
139;47;6;05.03.2022;14.03.2022;3
140;47;331;05.03.2022;10.03.2022;2,5
141;47;424;05.03.2022;14.03.2022;3
142;48;210;05.03.2022;05.03.2022;0
143;48;326;05.03.2022;18.03.2022;3
144;48;777;05.03.2022;08.03.2022;1,5
145;49;507;05.03.2022;05.03.2022;0
146;49;523;05.03.2022;13.03.2022;3
147;49;641;05.03.2022;17.03.2022;3
148;50;355;05.03.2022;15.03.2022;3
149;50;358;05.03.2022;07.03.2022;1
150;50;533;05.03.2022;05.03.2022;0
151;51;19;05.03.2022;09.03.2022;2
152;51;252;05.03.2022;14.03.2022;3
153;51;277;05.03.2022;11.03.2022;3
154;52;336;05.03.2022;14.03.2022;3
155;52;401;05.03.2022;15.03.2022;3
156;52;789;05.03.2022;14.03.2022;3
157;53;170;05.03.2022;10.03.2022;2,5
158;53;398;05.03.2022;09.03.2022;2
159;53;463;05.03.2022;17.03.2022;3
160;54;28;05.03.2022;15.03.2022;3
161;54;290;05.03.2022;15.03.2022;3
162;54;606;05.03.2022;17.03.2022;3
163;55;90;05.03.2022;05.03.2022;0
164;55;496;05.03.2022;19.03.2022;3
165;55;497;05.03.2022;05.03.2022;0
166;56;117;05.03.2022;17.03.2022;3
167;56;650;05.03.2022;15.03.2022;3
168;56;744;05.03.2022;17.03.2022;3
169;57;78;05.03.2022;17.03.2022;3
170;57;269;05.03.2022;15.03.2022;3
171;57;471;05.03.2022;11.03.2022;3
172;58;45;05.03.2022;05.03.2022;0
173;58;323;05.03.2022;09.03.2022;2
174;58;573;05.03.2022;17.03.2022;3
175;59;265;05.03.2022;15.03.2022;3
176;59;524;05.03.2022;09.03.2022;2
177;59;710;05.03.2022;05.03.2022;0
178;60;437;05.03.2022;16.03.2022;3
179;60;520;05.03.2022;10.03.2022;2,5
180;60;765;05.03.2022;05.03.2022;0
181;61;342;05.03.2022;17.03.2022;3
182;61;580;05.03.2022;10.03.2022;2,5
183;61;752;05.03.2022;11.03.2022;3
184;62;11;05.03.2022;19.03.2022;3
185;62;552;05.03.2022;05.03.2022;0
186;62;717;05.03.2022;17.03.2022;3
187;63;66;05.03.2022;17.03.2022;3
188;63;448;05.03.2022;19.03.2022;3
189;63;609;05.03.2022;11.03.2022;3
190;64;18;05.03.2022;05.03.2022;0
191;64;138;05.03.2022;08.03.2022;1,5
192;64;412;05.03.2022;14.03.2022;3
193;65;421;05.03.2022;18.03.2022;3
194;65;613;05.03.2022;07.03.2022;1
195;65;738;05.03.2022;05.03.2022;0
196;66;127;05.03.2022;12.03.2022;3
197;66;156;05.03.2022;17.03.2022;3
198;66;549;05.03.2022;17.03.2022;3
