ProduktID;KatID;Bezeichnung;Umfang;Typ;Preis;Pflanzort;Pflanzabstand
1;MiGAMARANTH ;"Amaranth „Mischung""";Einstreuer;1;2,00;Freiland;50 x 20 cm
2;StGANDENBEERE ;Andenbeere „Schönbrunner Gold“;10;2;4,00;Freiland;60 x 60 cm
3;StGAUBERGINE ;Aubergine „Blaukönigin“;2;2;5,00;Gewächshaus / Container;50 x 50 cm
4;StGAUBERGINE ;Aubergine „Violetta di Firenze“;2;2;5,00;Gewächshaus / Container;50 x 50 cm
5;StGAUBERGINE ;Aubergine „Blanche ronde à œuf (Eierfrucht)“;2;2;5,00;Gewächshaus / Container;50 x 50 cm
6;MiGBETE ;"Bete, Rote Bete „Robuschka""";2x 2m;3;7,00;Freiland;30 x 8 cm
7;MiGBETE ;Bete, Rote Bete „Marner Halanga“;2m;2;8,00;Freiland;30 x 8 cm
8;MiGBETE;Bete, Rote Bete „Tonda di Chioggia“;2m;2;8,00;Freiland;30 x 8 cm
9;MiGBETE ;Bete, Gelbe Bete „Burpees Golden“;2x 2m;3;3,00;Freiland;30 x 8 cm
10;StGBLUMENKOHL ;Blumenkohl „Erfurter Zwerg“;3x 6;2;0,50;Freiland;50 x 40 cm
11;ScGBOHNE ;Bohne, Buschbohne „Purple Teepee“;24;2;8,00;Freiland;40 x 30 cm
12;ScGBOHNE ;Bohne, Buschbohne „Zucker Perl Perfektion“;12;2;4,00;Freiland;50 x 40 cm
13;ScGBOHNE ;Bohne, Buschbohne „Auskernbohne schwarz“;15;2;4,50;Freiland;50 x 40 cm
14;ScGBOHNE ;"Bohne, Buschbohne, Trockenbohne ""Borlotto""";15;2;4,50;Freiland;50 x 40 cm
15;ScGBOHNE ;"Bohne, Buschbohne, Trockenbohne ""Canadian Wonder""";15;2;4,50;Freiland;40 x 60 cm
16;ScGBOHNE ;Bohne, Puffbohne „Karmesin“;4m;2;3,00;Freiland;50 x 10 cm
17;ScGBOHNE ;Bohne, Puffbohne „Rotsamige“;4m;2;3,50;Freiland;50 x 10 cm
18;ScGBOHNE ;"Bohne, Winterpuffbohne „Priamus""";4m;2;6,00;Freiland;50 x 10 cm
19;StGBROKKOLI ;Brokkoli „Ramoso calabrese“;8;2;2,00;Freiland;50 x 40 cm
20;MiGCHILI ;Chili, Jalapeno „Ruben“;6;2;8,00;Freiland;70 x 50 cm
