LieferDienstID;Name;Telefon;Fax;Email;Strasse;Hausnummer;Plz;Ort;Land
1;Leeb KGaA;09082/13709651;09082/89300690;notker.1996@inter-mail.none;Ossenkampstiege;47c;86732;Oettingen;Bayern
2;Paffrath KG;06771/70040255;06771/13768143;dietwolfbaldus@ultramail.none;Haßlinghauser Straße;129;56346;Prath;Rheinland-Pfalz
3;Krst OHG;09827/6491845;;idamarie-strassburger@justmail.none;Neue-Anlage-Straße;56;91623;Sachsen;Bayern
4;Leiter GmbH;04102/85636619;04102/48534042;brandolfhenneke@open-mail.none;Kupferkaute;34;22926;Ahrensburg;Schleswig-Holstein
5;Wiuha AG;02685/89993779;02685/55035117;carstahalbe@live-mail.none;Am Hövelwald;162;56593;Horhausen;Rheinland-Pfalz
6;Hennig UG;06435/98876816;;alhard.scott@private.none;Naheweg;75;56459;Mähren;
7;Möhrle GmbH & Co. KG;0371/18294554;0371/59167928;i_platzek@hoster.none;Westkirchener Straße;198;9125;Chemnitz;
8;Bleuk OHG;02942/92757059;02942/60433047;arntraud_kratzer@quickmail.none;Netter;167;59590;Geseke;
9;Joosten UG;0911/12153081;0911/69974274;s.zanker@validmail.none;Grundstraße;75;90587;Obermichelbach;Bayern
10;Karp und Schweers AG;04251/43355758;;f_90@inter-mail.none;Tuchstraße;142;27318;Hoya;Niedersachsen
11;Gietl AG;07571/18718523;07571/26559895;erk1929@hoster.none;Hoheluftchaussee;167;72514;Inzigkofen;Baden-Württemberg
12;Holst und Tippmann GmbH & Co. KG;06897/57594606;06897/22495934;andy59@retromail.none;Bürgermeister-Schmidt-Straße;109;66280;Sulzbach;Saarland
13;Bayerlein UG;04641/36998207;04641/37021352;tanja-eiden@mymail.none;Max-Winkelmann-Straße;113;24392;Boren;Schleswig-Holstein
14;Knott GmbH & Co. KG;02741/10284331;02741/45592866;aloistesch@anymail.none;Herborner Straße;106;57584;Scheuerfeld;
15;Friede und Cordes GbR;05276/94558789;;relindis.cordes@company.none;Am Steg;113b;37696;Marienmünster;Nordrhein-Westfalen
16;Skibbe UG;08454/69711631;08454/5644259;mstaerk@anymail.none;Windthorststraße;34;86668;Karlshuld;Bayern
17;Wessely KGaA;06572/17394134;;mariuswessely@validmail.none;Sinziger Straße;187;54533;Niederscheidweiler;Rheinland-Pfalz
18;Schwinghammer und Bill KG;06503/72000083;06503/98821891;uschwinghammer@live-mail.none;Am Graben;117;54413;Geisfeld;
19;Bhei GmbH;04244/14819342;;eheinzl@web.none;Bilker Allee;196;27243;Winkelsett;Niedersachsen
20;Achenbach und Heidkamp GmbH;05263/51280473;05263/44343604;l.1967@validmail.none;Neckarstraße;82;32683;Barntrup;
21;Job und Meuter KG;02747/20665831;02747/73262546;smeuter@xyz.none;Am Schloßpark;94;57520;Molzhain;Rheinland-Pfalz
22;Alba OHG;0391/88163421;0391/94025133;ehrentraud_bartmann@web.none;Matterhornstraße;10;39126;Magdeburg;
23;Henne und Alter OHG;06486/18260484;06486/7529715;christhelm-alter@net-mail.none;Siedlerweg;116;56370;Biebrich;Rheinland-Pfalz
24;Hutterer UG;05221/83729466;05221/20263688;anrich_juergensen@net-mail.none;Hohle Gasse;22;32120;Hiddenhausen;Nordrhein-Westfalen
25;Wissing OHG;05361/64651919;05361/66176362;monja-zuendorf@bestmail.none;Sassenberger Straße;157;38440;Wolfsburg;Niedersachsen
26;Reiner GbR;04756/56505198;04756/57581786;m-sickinger@anymail.none;Fürkhofstraße;196;21775;Odisheim;Niedersachsen
27;Remus OHG;08266/21909660;;valeska_lenkeit@goggle-mail.none;Hirtsgrunder Weg;179;87757;Kirchheim;Bayern
28;Tanner und Kater GbR;06021/72293458;06021/47593221;raingardis.06@anymail.none;Beuelsweg;148;63867;Johannesberg;
29;Raatz KG;05722/61539037;05722/40297200;xaver_himmelsbach@xyz.none;Höhenweg;9;31707;Heeßen;Niedersachsen
31;Obermüller und Trost GmbH;06592/36458066;06592/35380548;gobermueller@live-mail.none;Köttinger Weg;10;54550;Daun;
32;Panitz OHG;02594/88953827;02594/27516955;tabea.panitz@private.none;Bohlenstraße;180c;48249;Dülmen;Nordrhein-Westfalen
33;Gorges AG;07976/53459801;07976/78274926;gotthard_streicher@justmail.none;Salzmannstraße;55;74429;Sulzbach-Laufen;Baden-Württemberg
34;Hage GbR;06452/56967492;06452/51469705;d_15@inter-mail.none;Sesterbachstraße;83;35088;Battenberg;
35;Dickmann KGaA;07081/75452370;07081/85381948;amalia.1912@mymail.none;Linzer Straße;193;75323;Bad Wildbad;Baden-Württemberg
36;Krumpholz und Seegers KGaA;0511/14025779;;marieseegers@net-mail.none;Rölefeld;172;30159;Hannover;Niedersachsen
37;Kopp OHG;02636/60887769;02636/8488824;d-92@spam-mail.none;Burloer Straße;139;56653;Wehr;Rheinland-Pfalz
38;Hill GmbH;02274/83163938;02274/53219048;roseline.hintz@xyz.none;Meerheck;111;27404;Elsdorf;Niedersachsen
39;Klotz und Bollmann UG;05971/98234548;05971/51032811;h.bollmann@private.none;Maastrichter Straße;32;48429;Rheine;Nordrhein-Westfalen
40;Quadt GbR;06772/39215187;06772/54345294;anne-1991@company.none;Hohler Weg;112;56355;Kehlbach;
41;Nunez OHG;05665/9712098;05665/62238144;helena_16@funmail.none;Parkweg;105;34327;Körle;Hessen
42;Veigel GbR;06564/6877980;06564/74132681;elly-heim@open-mail.none;Torweg;120;54675;Sinspelt;Rheinland-Pfalz
43;Kolberg und Büchel OHG;05744/8215414;05744/87812737;a.13@validmail.none;Hauptstraße;122;32609;Hüllhorst;Nordrhein-Westfalen
44;Filter GmbH & Co. KG;02681/91757347;02681/21029570;mathis-maas@live-mail.none;Drovestraße;49;57612;Idelberg;Rheinland-Pfalz
45;Holzmann und Woelk AG;06597/6267695;06597/44650089;roselind-woelk@justmail.none;Anton-Bruckner-Straße;59;54597;Ormont;Rheinland-Pfalz
46;Beetz KGaA;04532/17315523;04532/31623512;erna-schneiders@email.none;Marienstraße;44;22941;Hammoor;Schleswig-Holstein
