BestellungID;PosID;ProduktID;SpezLieferAdrID;Menge;Preis
1538;3844;95;;4;2
1539;3845;17;1;3;3,5
1540;3846;68;;3;6
1541;3847;121;;11;4
1542;3848;49;;3;3,8
1543;3849;106;;6;7
1544;3850;38;;4;0,5
1545;3851;99;;9;3,8
1546;3852;35;;3;1
1547;3853;100;;8;5,6
1548;3854;40;;3;1
1549;3855;109;422;3;3
1550;3856;53;;4;5
1551;3857;126;;6;4
1552;3858;74;;3;3
1553;3859;24;;3;3
1554;3860;103;588;3;5
1555;3861;57;;3;8
1556;3862;13;;8;4,5
1557;3863;98;;6;4,5
1558;3864;58;;3;8
1559;3865;20;;4;8
1560;3866;111;;3;8
1561;3867;77;;3;2
1562;3868;45;;3;2
1563;3869;15;;9;4,5
1564;3870;114;;3;4,5
1565;3871;88;;8;0,5
1566;3872;64;;3;4,5
1567;3873;42;;6;2,4
1568;3874;22;;8;2
1569;3875;4;469;3;5
1570;3876;115;;3;4,5
1571;3877;101;;7;2
1572;3878;89;;3;0,8
1573;3879;79;;9;1,5
1574;3880;71;173;4;4
1575;3881;65;;3;4,5
1576;3882;61;;3;8
1577;3883;59;;1;3
1578;3884;59;;3;3
1579;3885;61;50;3;8
1580;3886;65;;4;4,5
1581;3887;71;;9;4
1582;3888;79;;3;1,5
1583;3889;89;;7;0,8
1584;3890;101;;3;2
1585;3891;115;;9;4,5
1586;3892;4;;8;5
1587;3893;22;;6;2
1588;3894;42;;3;2,4
1589;3895;64;447;8;4,5
1590;3896;88;;3;0,5
1591;3897;114;;6;4,5
1592;3898;15;;3;4,5
1593;3899;45;;3;2
1594;3900;77;259;3;2
1595;3901;111;;9;8
1596;3902;20;;3;8
1597;3903;58;;6;8
1598;3904;98;;4;4,5
1599;3905;13;56;3;4,5
1600;3906;57;;3;8
1601;3907;103;;5;5
1602;3908;24;;3;3
1603;3909;74;;6;3
1604;3910;126;482;3;4
1605;3911;53;;3;5
1606;3912;109;;3;3
1607;3913;40;;8;1
1608;3914;100;;3;5,6
1609;3915;35;85;9;1
1610;3916;99;;3;3,8
1611;3917;38;;6;0,5
1612;3918;106;;3;7
1613;3919;49;;11;3,8
1614;3920;121;;3;4
1615;3921;68;;3;6
1616;3922;17;;4;3,5
1617;3923;95;;9;2
1618;3924;48;;3;4,5
1619;3925;3;251;9;5
1620;3926;87;;3;0,5
1621;3927;46;;6;8
1622;3928;7;;8;8
1623;3929;97;;3;9
1624;3930;62;77;3;4
1625;3931;29;;7;1,5
1626;3932;125;;3;7
1627;3933;96;;3;8
1628;3934;69;;3;2
1629;3935;44;;3;4
1630;3936;21;;3;4
1631;3937;1;;11;2
1632;3938;108;;3;8
1633;3939;91;;9;1,2
1634;3940;76;523;8;4
1635;3941;63;;9;4,5
1636;3942;52;;3;4
1637;3943;43;;5;2,3
1638;3944;36;;3;0,5
1639;3945;31;19;9;2
1640;3946;28;;8;2
1641;3947;27;;9;2
1642;3948;28;;3;2
1643;3949;31;;5;2
1644;3950;36;;3;0,5
1645;3951;43;;9;2,3
1646;3952;52;;8;4
1647;3953;63;;9;4,5
1648;3954;76;;3;4
1649;3955;91;290;5;1,2
1650;3956;108;;3;8
1651;3957;1;;3;2
1652;3958;21;;3;4
1653;3959;44;;3;4
1654;3960;69;169;3;2
1655;3961;96;;3;8
1656;3962;125;;3;7
1657;3963;29;;3;1,5
1658;3964;62;;4;4
1659;3965;97;616;3;9
1660;3966;7;;3;8
1661;3967;46;;2;8
1662;3968;87;;3;0,5
1663;3969;3;;9;5
1664;3970;48;357;3;4,5
1665;3971;95;;9;2
1666;3972;17;;3;3,5
1667;3973;68;;4;6
1668;3974;121;;3;4
1669;3975;49;;3;3,8
1670;3976;106;;8;7
1671;3977;38;;6;0,5
1672;3978;99;;3;3,8
1673;3979;35;;1;1
1674;3980;100;280;3;5,6
1675;3981;40;;3;1
1676;3982;109;;8;3
